uid,average activity inference,average audio inference,conversation,dark,phonecharge,phonelock,in[sudikoff],in[baker-berry],in[lsb],in[north-main],in[HanoverInn],in[kemeny],in[hopkins],in[hanoverpsych],near[kemeny; cutter-north; north-main; ],in[cutter-north],in[occum],in[53_commons],in[north-park],in[dana-library],in[mclaughlin],in[ripley],in[thayer_secure],in[robinson],in[massrow],in[east-wheelock],in[ropeferry],in[sport-venues],in[fahey-mclane],in[fayerweather],in[dewey],in[woodward],in[murdough],in[wheeler],in[college-street],in[rollins-chapel],in[gile],in[reed],in[vac],in[lord],in[sport-venues-press],in[silsby-rocky],in[lodge],in[newhamp],in[channing-cox],in[cummings],in[maclean],in[steele],in[butterfield],near[butterfield; hopkins; ],near[hopkins; butterfield; ],in[softballfield],in[french],in[little_hall],in[7-lebanon],in[maxwell],in[moore]
u00,0.2278875562510958,0.8344407148219417,760.1117953576503,9595.923913043478,14838.68,9457.805309734511,2634.0,1901.0,1430.0,930.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u01,0.12035286040997176,0.8072553308782656,764.026158788435,12134.068292682927,22644.977272727272,14280.356481481482,0.0,0.0,0.0,0.0,0.0,5368.0,3317.0,1845.0,919.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u02,0.12466873168308948,0.6543004114721277,849.7296021577882,11389.069518716577,14817.8,10340.108974358976,3165.0,957.0,0.0,0.0,0.0,0.0,1590.0,0.0,0.0,0.0,13590.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u03,0.02425364971487742,0.2004384285524688,519.8661087866109,14019.73015873016,20112.23404255319,14850.039215686274,508.0,0.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13345.0,70.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u04,0.23620804469467,0.9561295070563282,550.2323712093533,11836.712686567163,23650.18333333333,14496.551867219918,0.0,2659.0,0.0,0.0,0.0,0.0,1573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11140.0,2146.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u05,0.12249203323672153,0.6558018185720806,662.5707317073171,13043.088235294117,15222.027777777776,13357.544444444444,4665.0,0.0,0.0,0.0,0.0,1474.0,0.0,0.0,0.0,0.0,1597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8133.0,1395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u07,0.13161570656880128,0.6485833163101183,588.9766933721777,13653.809210526317,18623.875,15476.071895424837,0.0,0.0,2745.0,0.0,0.0,0.0,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40929.0,2205.0,1535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u09,0.14137847899018874,0.7189574205929821,755.6571176729835,11098.753926701569,18094.197183098597,14803.744292237443,1287.0,4951.0,0.0,21750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u10,0.07806325412917789,0.6298976758808648,510.74513274336283,11093.244239631336,9573.341176470589,9943.01661129568,0.0,6557.0,2072.0,0.0,0.0,966.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u14,0.13932589251077884,0.916176616650634,871.3379457158063,13691.326530612243,15722.0,11295.138248847927,5294.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10372.0,2836.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u15,0.14381283144093435,0.700185309186041,734.8032319391635,14333.285714285714,10845.533333333333,15342.689655172411,1656.0,898.0,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,0.0,3231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u16,0.0942436968796676,0.5210667940510139,596.9674985490424,10564.435582822083,13092.512195121953,10656.037190082645,2298.0,0.0,331.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,15282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u17,0.0882245633237561,0.5275206408955998,626.0422636103152,12080.709956709956,13266.481481481482,13126.231441048038,2230.0,648.0,934.0,0.0,0.0,0.0,896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u19,0.08994537868684352,0.529732477478246,620.8629893238434,13752.329608938548,8492.152380952379,11370.472440944883,8373.0,0.0,1300.0,0.0,0.0,0.0,3113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u20,0.04922388042846092,0.4819545297047896,451.97813688212926,12465.373626373626,14903.705882352939,12518.536363636365,527.0,2320.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,16011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u23,0.053671556381184204,0.5255687782204665,472.83498098859314,13616.785340314136,12769.81884057971,10393.163551401867,856.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,11129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u24,0.10097622087647744,0.7150197619320997,734.9007633587787,9906.142857142857,18863.5,11099.849206349209,1253.0,0.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8832.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u27,0.08292620715364844,0.5619780610417203,459.15099457504516,9446.009615384615,13034.684931506848,11037.612244897959,1874.0,1267.0,0.0,0.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u30,0.20555729571886147,0.9225299334509394,917.5908875177977,12392.329842931937,18880.78787878788,13422.572033898303,4015.0,8794.0,0.0,0.0,0.0,0.0,8932.0,0.0,0.0,0.0,0.0,2550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u31,0.16150490137850645,0.6173124678055649,463.34207436399214,9958.11,9567.858407079646,7803.514423076923,9988.0,330.0,472.0,733.0,0.0,0.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u32,0.18332921024977428,0.7723686128399114,836.4946291560103,12715.12068965517,17860.519480519484,12776.622807017544,4634.0,3643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7921.0,4957.0,0.0,0.0,0.0,0.0,0.0,0.0,39225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u33,0.10757905185045137,0.7085211410900268,1051.0565410199556,12645.355555555556,18050.764705882357,10328.306451612903,0.0,0.0,0.0,446.0,0.0,0.0,4600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16622.0,597.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u34,0.2587559745270712,0.6620893375459146,612.0456540825286,11209.529411764706,11849.407407407407,13038.45,1235.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,1198.0,1547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u35,0.09202409355372457,0.4640243623725986,537.2193412754029,12580.617021276597,14591.785714285714,12577.971153846154,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,7975.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u36,0.1730460744959283,0.5184383838157617,418.6509926854754,10981.028688524591,18465.09523809524,9684.882882882885,37569.0,0.0,1119.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u42,0.12054036575288328,0.4788985202122158,601.4193548387096,14530.770833333336,16639.0,12092.765306122448,2746.0,0.0,1093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,0.0,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u43,0.1613472962642831,0.6409180674701661,602.8214904679377,12297.057553956833,12192.971014492754,12356.67901234568,1287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.0,0.0,0.0,2196.0,991.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0
u44,0.04584371768136582,0.4066769001982629,456.9957173447537,12096.190476190475,10634.0,11237.795555555556,6740.0,0.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0
u45,0.2347619422133525,0.6529972352008974,632.5035742652898,14543.478260869566,11594.245614035088,10126.070652173914,3801.0,0.0,2102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1496.0,4527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u46,0.23905673118648865,0.8462884617576258,754.1069743051913,10053.76829268293,16642.202898550724,9354.073170731708,3381.0,3183.0,0.0,0.0,0.0,0.0,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18089.0,0.0,0.0,0.0,0.0
u47,0.1128585829891322,0.5497661761118231,400.430155210643,13019.739130434782,11525.372881355932,11501.105882352942,2988.0,0.0,240.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u49,0.10535283259974444,0.6186047011227438,525.6070998796631,10203.910447761196,9844.877551020407,8215.42652329749,5984.0,19082.0,0.0,0.0,0.0,2589.0,2603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30943.0,0.0,0.0,0.0
u51,0.1505407927661299,0.5509423123681051,452.8569214876033,10901.879807692309,23949.309090909093,12287.465189873416,18505.0,0.0,960.0,415.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u52,0.4213848199088052,0.4060622840280649,460.8496143958868,10474.933014354066,13734.575757575756,9335.050632911392,0.0,0.0,15426.0,174716.0,0.0,13046.0,0.0,0.0,0.0,0.0,0.0,19690.0,0.0,0.0,107383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u53,0.0726231102689015,0.5276821951128401,563.7708219923787,13498.879032258064,14553.34693877551,12065.896265560166,4853.0,0.0,738.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,31134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u56,0.15071386295023612,0.6366401434186031,513.3848314606741,12912.88785046729,16679.102564102563,13267.39416058394,0.0,0.0,0.0,395.0,0.0,0.0,366.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,5198.0
u59,0.2543972422684254,0.8752856987316748,393.54051407588736,10667.4,11456.72077922078,10468.089655172414,5409.0,5307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4464.0,0.0,0.0,0.0,0.0,0.0,7152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
